"","peaks","fips","cases","county","state","Region","lat","lng","per_dem","median.income","unemployed.rate"
"1","peak 1","01001",901.142857142857,"Autauga","Alabama","South",32.5349,-86.6427,0.270183651422398,58233,4.9
"2","peak 1","01003",2379.28571428571,"Baldwin","Alabama","South",30.7275,-87.7226,0.22409029987509,59871,5.6
"3","peak 1","01005",531.714285714286,"Barbour","Alabama","South",31.8696,-85.3932,0.457881726563986,35972,7
"4","peak 1","01007",297.571428571429,"Bibb","Alabama","South",32.9986,-87.1265,0.206982803543512,47918,6.6
"5","peak 1","01009",580.142857142857,"Blount","Alabama","South",33.9809,-86.5674,0.0956937799043062,52902,4.1
"6","peak 1","01011",408,"Bullock","Alabama","South",32.1005,-85.7157,0.747019293301539,31906,5.5
"7","peak 1","01013",706.571428571429,"Butler","Alabama","South",31.7524,-86.6803,0.41789629005059,39944,8.8
"8","peak 1","01015",957.142857142857,"Calhoun","Alabama","South",33.7714,-85.826,0.298452425318243,47747,7.1
"9","peak 1","01017",791.428571428571,"Chambers","Alabama","South",32.9143,-85.392,0.416448573671814,42015,6.8
"10","peak 1","01019",194.142857142857,"Cherokee","Alabama","South",34.1759,-85.6038,0.132021786846598,45982,4.6
"11","peak 1","01021",549.142857142857,"Chilton","Alabama","South",32.8479,-86.7188,0.159140341791818,49692,5
"12","peak 1","01023",249.428571428571,"Choctaw","Alabama","South",32.0198,-88.2632,0.418944265809218,39808,6.7
"13","peak 1","01025",419.857142857143,"Clarke","Alabama","South",31.6767,-87.8308,0.438142367719833,43822,9
"14","peak 1","01027",142.571428571429,"Clay","Alabama","South",33.269,-85.8606,0.182828282828283,40562,4
"15","peak 1","01029",86.4285714285714,"Cleburne","Alabama","South",33.6745,-85.5188,0.0933997509339975,51276,4.6
"16","peak 1","01031",597.428571428571,"Coffee","Alabama","South",31.4027,-85.9882,0.227878787878788,57299,4.4
"17","peak 1","01033",834.428571428571,"Colbert","Alabama","South",34.7005,-87.8049,0.299182385426379,46683,6.6
"18","peak 1","01035",316.428571428571,"Conecuh","Alabama","South",31.4292,-86.9937,0.460487501940692,41539,7.3
"19","peak 1","01037",80.7142857142857,"Coosa","Alabama","South",32.9362,-86.2477,0.327797043256069,42024,5.5
"20","peak 1","01039",647.142857142857,"Covington","Alabama","South",31.2485,-86.4513,0.156110154905336,44836,4.9
"21","peak 1","01041",213.857142857143,"Crenshaw","Alabama","South",31.7315,-86.3135,0.256914009369805,43309,5.7
"22","peak 1","01043",908.714285714286,"Cullman","Alabama","South",34.1319,-86.8676,0.106998638025376,50897,4.3
"23","peak 1","01045",606.714285714286,"Dale","Alabama","South",31.4318,-85.611,0.261931300030398,45120,4.9
"24","peak 1","01047",1216,"Dallas","Alabama","South",32.326,-87.1065,0.6846171070309,34034,10.7
"25","peak 1","01049",1421.71428571429,"DeKalb","Alabama","South",34.4598,-85.8041,0.145830494617795,44277,4.5
"26","peak 1","01051",1400.57142857143,"Elmore","Alabama","South",32.5966,-86.1492,0.252668778942237,62310,4.9
"27","peak 1","01053",772,"Escambia","Alabama","South",31.1261,-87.1616,0.309113764927718,42712,6
"28","peak 1","01055",1534.28571428571,"Etowah","Alabama","South",34.0453,-86.0348,0.242352497485753,43047,7.7
"29","peak 1","01057",133.428571428571,"Fayette","Alabama","South",33.7212,-87.7389,0.159137577002053,44212,5
"30","peak 1","01059",1060.71428571429,"Franklin","Alabama","South",34.4417,-87.8437,0.165845126411194,44874,4.4
"31","peak 1","01061",170,"Geneva","Alabama","South",31.0951,-85.8391,0.127142287764049,43089,4.1
"32","peak 1","01063",227.571428571429,"Greene","Alabama","South",32.8531,-87.9522,0.813403141361257,28699,10.9
"33","peak 1","01065",415.142857142857,"Hale","Alabama","South",32.7627,-87.6291,0.591643524362535,40745,9.4
"34","peak 1","01067",210,"Henry","Alabama","South",31.5147,-85.2414,0.280275328027533,48597,4.8
"35","peak 1","01069",1010.14285714286,"Houston","Alabama","South",31.1532,-85.3025,0.279752236155329,50138,5.4
"36","peak 1","01071",619.428571428571,"Jackson","Alabama","South",34.7795,-85.9994,0.157260111694026,44322,5.3
"37","peak 1","01073",9692.85714285714,"Jefferson","Alabama","South",33.5543,-86.8964,0.557585131717856,54127,6.2
