"","X1","X1_2","X1_1","Peaks","fips","cases","County","State","Region","lat","lng","population","Per.Vote.Dem","Urban.Code","Median.Income","Unemployed.Rate","Case.per","Income.Group"
"1",1,1,1,"Peak 1","01001",12.1428571428571,"Autauga","Alabama","South",32.5349,-86.6427,55380,0.270183651422398,2,58233,4.9,0.219264303771345,"Middle Income"
"2",2,2,2,"Peak 1","01003",99.2857142857143,"Baldwin","Alabama","South",30.7275,-87.7226,212830,0.22409029987509,3,59871,5.6,0.466502439908445,"Middle Income"
"3",3,3,3,"Peak 1","01005",8.42857142857143,"Barbour","Alabama","South",31.8696,-85.3932,25361,0.457881726563986,6,35972,7,0.332343812490494,"Low Income"
"4",4,4,4,"Peak 1","01007",6.42857142857143,"Bibb","Alabama","South",32.9986,-87.1265,22493,0.206982803543512,1,47918,6.6,0.285803202266102,"Middle Income"
"5",5,5,5,"Peak 1","01009",19.8571428571429,"Blount","Alabama","South",33.9809,-86.5674,57681,0.0956937799043062,1,52902,4.1,0.344257950748824,"Middle Income"
"6",6,6,6,"Peak 1","01011",2.14285714285714,"Bullock","Alabama","South",32.1005,-85.7157,10248,0.747019293301539,6,31906,5.5,0.209100033456005,"Low Income"
"7",7,7,7,"Peak 1","01013",5,"Butler","Alabama","South",31.7524,-86.6803,19828,0.41789629005059,6,39944,8.8,0.252168650393383,"Low Income"
"8",8,8,8,"Peak 1","01015",40.1428571428571,"Calhoun","Alabama","South",33.7714,-85.826,114618,0.298452425318243,3,47747,7.1,0.350231701328387,"Middle Income"
"9",9,9,9,"Peak 1","01017",7.71428571428571,"Chambers","Alabama","South",32.9143,-85.392,33660,0.416448573671814,6,42015,6.8,0.229182582123758,"Middle Income"
"10",10,10,10,"Peak 1","01019",4.28571428571429,"Cherokee","Alabama","South",34.1759,-85.6038,25903,0.132021786846598,6,45982,4.6,0.16545242966893,"Middle Income"
"11",11,11,11,"Peak 1","01021",17.1428571428571,"Chilton","Alabama","South",32.8479,-86.7188,44055,0.159140341791818,1,49692,5,0.389123984629602,"Middle Income"
"12",12,12,12,"Peak 1","01023",2.85714285714286,"Choctaw","Alabama","South",32.0198,-88.2632,12925,0.418944265809218,9,39808,6.7,0.221055540204477,"Low Income"
"13",13,13,13,"Peak 1","01025",7.71428571428571,"Clarke","Alabama","South",31.6767,-87.8308,24128,0.438142367719833,7,43822,9,0.319723380068207,"Middle Income"
"14",14,14,14,"Peak 1","01027",6.28571428571429,"Clay","Alabama","South",33.269,-85.8606,13337,0.182828282828283,9,40562,4,0.471298964213413,"Middle Income"
"15",15,15,15,"Peak 1","01029",2.14285714285714,"Cleburne","Alabama","South",33.6745,-85.5188,14916,0.0933997509339975,8,51276,4.6,0.143661648086427,"Middle Income"
"16",16,16,16,"Peak 1","01031",13.8571428571429,"Coffee","Alabama","South",31.4027,-85.9882,51662,0.227878787878788,4,57299,4.4,0.268226991931069,"Middle Income"
"17",17,17,17,"Peak 1","01033",17.4285714285714,"Colbert","Alabama","South",34.7005,-87.8049,54771,0.299182385426379,3,46683,6.6,0.31820801936374,"Middle Income"
"18",18,18,18,"Peak 1","01035",6.71428571428571,"Conecuh","Alabama","South",31.4292,-86.9937,12394,0.460487501940692,7,41539,7.3,0.541736785080338,"Middle Income"
"19",19,19,19,"Peak 1","01037",2.28571428571429,"Coosa","Alabama","South",32.9362,-86.2477,10757,0.327797043256069,8,42024,5.5,0.212486221596569,"Middle Income"
"20",20,20,20,"Peak 1","01039",16.8571428571429,"Covington","Alabama","South",31.2485,-86.4513,37200,0.156110154905336,6,44836,4.9,0.453149001536099,"Middle Income"
"21",21,21,21,"Peak 1","01041",8.28571428571429,"Crenshaw","Alabama","South",31.7315,-86.3135,13844,0.256914009369805,8,43309,5.7,0.598505799314814,"Middle Income"
"22",22,22,22,"Peak 1","01043",19.2857142857143,"Cullman","Alabama","South",34.1319,-86.8676,82853,0.106998638025376,4,50897,4.3,0.232770259202615,"Middle Income"
"23",23,23,23,"Peak 1","01045",20.7142857142857,"Dale","Alabama","South",31.4318,-85.611,49277,0.261931300030398,4,45120,4.9,0.420364180333334,"Middle Income"
"24",24,24,24,"Peak 1","01047",10.4285714285714,"Dallas","Alabama","South",32.326,-87.1065,39149,0.6846171070309,4,34034,10.7,0.266381553259889,"Low Income"
"25",25,25,25,"Peak 1","01049",25.1428571428571,"DeKalb","Alabama","South",34.4598,-85.8041,71310,0.145830494617795,6,44277,4.5,0.352585291584029,"Middle Income"
